nome,duplicado_geral,duplicado_raiz,quantidade_geral,quantidade_raiz,licenca_SPDX,license_score_geral,license_score_raiz,licencas_compativeis_geral,licencas_compativeis_raiz,licencas_readme,licencas_packageJson,licencas_license,licencas_outros_arquivos,licencas_fora_da_raiz,numero_linhas
/[feross]webtorrent/,True,True,4,2,2,15.0,100.0,False,True,1,1,1,1,2,6804
/[ParsePlatform]parse-server/,True,True,4,2,2,11.0,22.0,False,False,0,1,1,1,2,107160
/[github]fetch/,True,True,2,2,1,16.0,16.0,False,False,0,1,1,1,0,2460
/[mzabriskie]axios/,False,False,1,1,1,100.0,100.0,True,True,1,1,1,1,1,7721
/[julianshapiro]velocity/,True,False,2,1,2,89.58,100.0,True,True,1,1,1,1,2,26794
/[quilljs]quill/,True,False,3,1,2,11.0,22.0,False,True,1,1,1,0,3,38769
/[jasmine]jasmine/,True,True,3,2,2,22.58,22.58,False,True,1,1,1,1,2,33392
/[alibaba]weex/,True,True,0,0,0,100.0,100.0,True,True,0,0,0,0,0,28
/[knsv]mermaid/,True,False,2,1,2,90.0,100.0,True,True,0,1,1,0,2,18671
/[enyo]dropzone/,False,False,1,1,1,98.18,98.18,True,True,1,1,1,1,1,5301
/[mxstbr]react-boilerplate/,True,False,4,1,4,20.93,20.93,False,True,1,1,1,1,4,26575
/[npm]npm/,True,True,0,0,0,100.0,100.0,True,True,0,0,0,0,0,
/[mochajs]mocha/,True,True,8,2,6,16.0,16.0,False,False,1,1,1,2,8,45362
/[jlmakes]scrollreveal/,True,True,3,2,2,16.0,16.0,False,False,2,1,0,1,3,3960
/[wycats]handlebars.js/,True,False,3,1,2,90.91,100.0,False,True,1,1,1,1,3,21687
/[riot]riot/,True,True,4,4,3,82.94,82.94,False,False,1,1,1,4,0,13589
/[desandro]masonry/,False,False,1,1,1,100.0,100.0,True,True,1,1,0,1,1,3300
/[Automattic]mongoose/,True,False,2,1,2,95.0,100.0,True,True,1,1,1,1,2,164096
/[gruntjs]grunt/,False,False,1,1,1,100.0,100.0,True,True,1,1,1,0,0,3484
/[naptha]tesseract.js/,True,False,2,1,2,5.0,94.44,False,True,1,1,1,0,1,12796
/[node-inspector]node-inspector/,True,True,4,2,4,90.0,90.0,False,True,0,0,1,1,4,132729
/[cheeriojs]cheerio/,True,False,2,1,2,100.0,100.0,True,True,1,1,1,1,1,15528
/[wagerfield]parallax/,True,True,3,3,2,27.0,27.0,False,False,3,1,1,0,0,9007
/[etsy]statsd/,True,True,3,3,1,9.27,9.27,False,False,0,1,1,2,1,8352
/[codemirror]CodeMirror/,True,True,7,2,5,16.0,16.0,False,False,0,1,1,2,7,87874
/[legomushroom]mojs/,True,False,3,1,1,11.0,100.0,False,True,0,1,1,1,3,61131
/[nolimits4web]Swiper/,True,False,2,1,1,12.0,100.0,False,True,0,1,1,1,2,48473
/[substack]node-browserify/,False,False,1,1,1,100.0,100.0,True,True,1,1,1,0,0,6060
/[scottjehl]Respond/,True,True,4,2,3,11.0,11.0,False,False,1,1,1,1,3,2999
/[Shopify]dashing/,True,False,4,1,4,82.61,100.0,False,True,1,0,1,1,4,16621
/[juliangarnier]anime/,True,False,2,1,2,100.0,100.0,True,True,1,1,1,1,2,19559
/[RocketChat]Rocket.Chat/,True,True,8,3,6,11.0,11.0,False,False,3,1,1,0,7,435132
/[MostlyAdequate]mostly-adequate-guide/,True,True,3,2,3,60.71,60.71,False,False,1,1,1,0,1,5576
/[janl]mustache.js/,True,False,3,1,3,99.39,99.39,False,True,0,1,1,1,3,11670
/[segmentio]nightmare/,False,False,1,1,1,99.0,100.0,True,True,1,1,0,0,1,8777
/[requirejs]requirejs/,True,True,15,2,10,11.0,100.0,False,False,1,1,2,1,14,24247
/[ryanmcdermott]clean-code-javascript/,False,False,1,1,1,100.0,100.0,True,True,0,0,1,0,0,
/[jquery]jquery-mobile/,True,True,11,3,9,16.0,16.0,False,False,0,1,2,2,10,142368
/[yabwe]medium-editor/,True,False,3,1,2,99.04,100.0,False,True,1,1,1,1,3,26530
/[VerbalExpressions]JSVerbalExpressions/,True,True,2,2,1,12.0,12.0,False,False,0,1,1,2,1,12866
/[mattermost]platform/,True,True,26,12,18,2.84,5.0,False,False,1,0,4,11,24,1156613
/[jquery]jquery-ui/,True,True,11,3,9,16.0,16.0,False,False,0,1,2,2,9,371948
/[verekia]js-stack-from-scratch/,False,False,1,1,1,100.0,100.0,True,True,1,1,1,0,1,2294
/[linnovate]mean/,True,False,4,1,4,11.32,100.0,False,True,0,1,0,0,4,1846
/[addyosmani]backbone-fundamentals/,True,True,13,7,9,3.28,11.0,False,False,2,1,0,5,10,99072
/[git-tips]tips/,False,False,1,1,1,100.0,100.0,True,True,0,1,1,0,0,1893
/[remy]nodemon/,True,False,4,1,3,9.62,100.0,False,True,1,1,0,0,4,39111
/[jaredhanson]passport/,False,False,1,1,1,100.0,100.0,True,True,1,1,1,0,0,6468
/[visionmedia]superagent/,False,False,1,1,1,100.0,100.0,True,True,1,1,1,0,1,15542
/[Flipboard]react-canvas/,True,True,3,2,1,22.0,22.0,False,False,1,1,1,0,2,3232
/[substack]stream-handbook/,False,False,1,1,1,38.0,38.0,True,True,1,1,1,0,0,392
/[browserstate]history.js/,True,False,13,1,9,5.0,66.67,False,True,1,0,1,0,13,125105
/[jwagner]smartcrop.js/,True,False,3,1,3,95.0,99.0,True,True,1,1,1,1,3,17838
/[ampproject]amphtml/,True,False,13,1,11,5.0,100.0,False,True,0,1,1,1,13,561228
/[philipwalton]solved-by-flexbox/,True,False,3,1,3,23.33,100.0,False,True,0,1,1,0,3,11626
/[adobe-webplatform]Snap.svg/,True,True,6,3,5,11.0,11.0,False,False,0,1,1,3,5,61745
/[uxsolutions]bootstrap-datepicker/,True,False,4,1,4,16.0,16.0,False,True,1,1,1,1,4,15043
/[JacksonTian]fks/,True,False,4,1,2,11.0,100.0,False,True,0,1,0,0,4,37926
/[selectize]selectize.js/,True,False,2,1,2,16.0,16.0,True,True,1,1,1,1,2,41897
/[feross]standard/,True,True,2,2,1,75.0,100.0,True,True,1,1,1,1,1,13719
/[keen]dashboards/,False,False,1,1,1,100.0,100.0,True,True,0,1,1,1,1,7173
/[RubaXa]Sortable/,True,False,2,1,2,100.0,100.0,True,True,1,1,1,1,2,22672
/[DrkSephy]es6-cheatsheet/,False,False,1,1,1,100.0,100.0,True,True,1,0,0,0,0,2587
/[foreverjs]forever/,False,False,1,1,1,100.0,100.0,True,True,1,1,1,0,1,5927
/[jiahaog]nativefier/,False,False,1,1,1,100.0,100.0,True,True,1,1,1,0,1,4723
/[isagalaev]highlight.js/,True,True,7,3,6,17.65,18.75,False,True,2,1,1,1,6,34891
/[benweet]stackedit/,True,False,2,1,2,32.35,100.0,True,True,0,1,1,0,2,50318
/[gionkunz]chartist-js/,True,True,3,2,2,11.0,50.0,False,False,0,2,2,1,3,27152
/[Marak]faker.js/,True,False,7,1,5,11.0,100.0,False,True,1,1,1,1,7,992066
/[yaronn]blessed-contrib/,True,False,3,1,2,5.0,98.79,False,True,1,1,1,0,2,5758
/[petehunt]webpack-howto/,False,True,1,0,1,100.0,100.0,True,True,0,0,0,0,1,964
/[parkjs814]AlgorithmVisualizer/,True,True,0,0,0,100.0,100.0,True,True,0,0,0,0,0,
/[dimsemenov]Magnific-Popup/,True,False,2,1,2,66.0,100.0,True,True,1,1,1,1,2,22467
/[peachananr]onepage-scroll/,True,True,3,3,3,20.97,20.97,False,False,2,0,0,1,1,1296
/[Selz]plyr/,True,False,4,1,4,90.0,100.0,False,True,1,1,1,0,4,45526
/[aurelia]framework/,True,True,2,2,1,11.0,11.0,False,False,1,1,1,2,0,14634
/[scottjehl]picturefill/,True,False,3,1,3,80.0,99.0,True,True,1,1,1,1,3,14210
/[wekan]wekan/,True,True,6,2,3,11.0,16.0,False,False,1,1,1,2,5,121868
/[cubiq]iscroll/,True,True,2,2,1,16.0,16.0,False,False,2,1,1,1,0,13705
/[keystonejs]keystone/,True,False,5,1,4,16.0,100.0,False,True,1,1,1,0,5,86665
/[WickyNilliams]headroom.js/,False,False,1,1,1,50.0,50.0,True,True,1,1,1,1,0,3934
/[infernojs]inferno/,True,True,5,2,3,16.0,16.0,False,False,0,1,1,2,4,73158
/[facebook]draft-js/,True,True,4,3,2,22.0,22.0,False,False,1,1,2,2,3,34166
/[DmitryBaranovskiy]raphael/,True,True,2,2,2,17.65,17.65,True,True,1,1,1,2,1,17710
/[erikras]react-redux-universal-hot-example/,False,False,1,1,1,100.0,100.0,True,True,0,1,1,0,1,3728
/[sequelize]sequelize/,True,False,3,1,3,8.16,100.0,False,True,0,1,1,0,3,87606
/[react-bootstrap]react-bootstrap/,True,False,5,1,4,11.0,100.0,False,True,0,1,1,0,5,22720
/[fgnass]spin.js/,False,False,1,1,1,100.0,100.0,True,True,1,1,1,0,1,1247
/[fbsamples]f8app/,True,True,5,3,2,22.0,22.0,False,False,0,0,1,2,3,16303
/[mysqljs]mysql/,False,False,1,1,1,100.0,100.0,True,True,1,1,1,0,0,15706
/[ruanyf]react-demos/,True,False,5,1,4,90.0,95.0,False,True,1,0,0,0,5,33318
/[jaywcjlove]awesome-mac/,True,True,6,6,5,5.0,5.0,False,False,4,1,1,0,0,3524
/[sdelements]lets-chat/,True,False,5,1,5,30.3,99.0,False,True,1,1,1,1,5,65128
/[VincentGarreau]particles.js/,False,False,1,1,1,100.0,100.0,True,True,0,1,1,1,0,1805
/[avajs]ava/,False,False,1,1,1,100.0,100.0,True,True,0,1,1,0,0,30839
/[Automattic]wp-calypso/,True,True,15,7,11,5.0,11.0,False,False,2,2,1,6,13,779423
/[zeit]next.js/,True,False,3,1,2,97.22,100.0,False,True,0,0,1,0,3,79313
/[ptmt]react-native-macos/,True,True,9,6,5,11.0,11.0,False,False,1,1,2,4,6,220880
/[FormidableLabs]webpack-dashboard/,False,False,1,1,1,100.0,100.0,True,True,0,1,1,0,0,2304
/[NUKnightLab]TimelineJS/,True,True,8,4,7,33.0,38.0,False,False,1,0,4,1,7,24125
/[BrowserSync]browser-sync/,True,False,5,1,5,16.0,99.81,False,True,1,0,1,0,5,126132
/[localForage]localForage/,True,True,4,2,4,16.0,50.0,False,True,2,1,1,1,4,14929
/[Bilibili]flv.js/,False,False,1,1,1,74.56,74.56,True,True,1,1,1,1,1,16719
/[pouchdb]pouchdb/,True,False,7,1,5,11.0,100.0,False,True,0,1,1,0,7,100093
/[strongloop]loopback/,True,True,5,5,1,12.27,12.27,False,False,0,1,1,5,1,28914
/[carhartl]jquery-cookie/,True,True,3,3,3,90.0,90.0,False,False,0,1,1,3,1,835
/[rollup]rollup/,False,False,1,1,1,94.29,94.29,True,True,1,1,1,1,1,98392
/[karma-runner]karma/,True,False,3,1,2,5.0,100.0,False,True,1,1,1,0,2,27187
/[storybooks]react-storybook/,True,False,3,1,2,90.0,96.51,False,True,1,0,1,0,3,98190
/[mgonto]restangular/,False,False,1,1,1,81.82,81.82,True,True,1,1,1,1,1,4992
/[daylerees]colour-schemes/,True,True,3,2,2,22.0,100.0,True,True,0,0,2,1,2,135401
/[janpaepke]ScrollMagic/,True,True,12,8,9,2.99,5.0,False,False,4,2,6,3,9,50737
/[imakewebthings]waypoints/,True,False,2,1,2,100.0,100.0,True,True,1,1,1,1,2,8456
/[buunguyen]octotree/,True,False,2,1,2,99.0,100.0,False,False,0,0,1,0,1,13964
/[knockout]knockout/,True,True,5,2,4,42.42,42.42,False,False,2,1,1,1,4,24197
/[airbnb]enzyme/,False,False,1,1,1,100.0,100.0,True,True,1,1,1,0,1,34426
/[shichuan]javascript-patterns/,True,True,4,0,4,11.0,100.0,False,True,0,0,0,0,4,12703
/[maxwellito]vivus/,False,False,1,1,1,100.0,100.0,True,True,0,1,1,1,1,7463
/[aFarkas]html5shiv/,True,True,4,3,4,16.0,80.0,False,False,0,0,2,3,3,6374
/[gollum]gollum/,True,False,29,1,25,5.0,100.0,False,True,0,0,1,1,29,203322
/[metafizzy]isotope/,True,True,6,3,4,24.44,24.44,False,False,3,1,0,1,4,6691
/[sindresorhus]pageres/,False,False,1,1,1,100.0,100.0,True,True,0,1,1,0,0,871
/[chrisaljoudi]uBlock/,True,False,20,1,16,5.0,99.87,False,False,1,0,1,0,20,46440
/[facebook]relay/,True,False,2,1,1,22.0,98.79,False,True,1,1,1,1,2,157301
/[gorhill]uBlock/,True,False,14,1,12,5.0,99.87,False,False,1,0,1,0,14,154450
/[systemjs]systemjs/,True,False,3,1,2,90.0,100.0,False,True,1,1,1,0,2,9172
/[kesenhoo]android-training-course-in-chinese/,True,True,4,2,4,50.0,50.0,False,False,1,0,1,0,3,26750
/[oneuijs]You-Dont-Need-jQuery/,False,False,1,1,1,100.0,100.0,True,True,1,1,1,0,0,12302
/[stylus]stylus/,False,False,1,1,1,100.0,100.0,True,True,1,1,1,0,1,32065
/[alsotang]node-lessons/,True,False,2,1,2,100.0,100.0,True,True,1,0,0,0,2,7037
/[arasatasaygin]is.js/,False,False,1,1,1,100.0,100.0,True,True,0,1,1,0,0,3666
/[facebook]jest/,True,True,38,2,33,11.0,22.0,False,False,1,0,1,2,37,221059
/[niklasvh]html2canvas/,False,False,1,1,1,100.0,100.0,True,True,0,1,1,0,1,47679
/[guillaumepotier]Parsley.js/,True,True,7,3,6,18.75,18.75,False,True,3,1,1,1,7,69831
/[hacksalot]HackMyResume/,True,True,2,2,2,99.0,99.0,True,True,2,1,1,1,1,11328
/[davezuko]react-redux-starter-kit/,False,False,1,1,1,100.0,100.0,True,True,0,1,1,0,0,1764
/[javve]list.js/,True,False,3,1,3,99.0,100.0,True,True,1,1,1,1,3,10118
/[chenglou]react-motion/,True,False,2,1,2,97.06,97.06,True,True,0,1,1,1,2,5270
/[ccampbell]mousetrap/,True,True,3,2,3,99.0,100.0,True,True,1,1,2,1,1,3543
/[harthur]brain/,False,False,1,1,1,100.0,100.0,True,True,0,0,1,0,0,1250
/[afaqurk]linux-dash/,False,False,1,1,1,100.0,100.0,True,True,0,1,1,0,1,4112
/[handsontable]handsontable/,True,True,10,6,4,11.0,11.0,False,False,2,2,3,2,7,281319
/[gatsbyjs]gatsby/,True,False,11,1,7,5.0,100.0,False,True,1,0,1,1,11,412187
/[kamens]jQuery-menu-aim/,True,False,2,1,2,80.0,100.0,True,True,1,0,0,0,2,8090
/[paperjs]paper.js/,True,True,4,2,3,11.9,16.0,False,False,2,1,1,1,3,36762
/[tj]co/,False,False,1,1,1,100.0,100.0,True,True,1,1,1,1,0,1027
/[goldfire]howler.js/,True,False,3,1,3,23.33,100.0,False,True,1,1,1,1,3,7048
/[hapijs]hapi/,False,False,1,1,1,22.0,22.0,True,True,0,1,1,0,0,22381
/[marmelab]gremlins.js/,True,False,2,1,2,80.0,100.0,True,True,1,1,1,1,2,12424
/[rwaldron]johnny-five/,True,False,5,1,4,5.0,100.0,False,True,1,1,1,1,5,86149
/[Matt-Esch]virtual-dom/,False,False,1,1,1,90.0,100.0,True,True,0,1,1,0,1,6745
/[MrRio]jsPDF/,True,False,9,1,7,16.0,100.0,False,True,1,1,1,1,9,186221
/[mishoo]UglifyJS/,True,False,3,1,3,89.55,89.86,False,True,1,0,0,0,3,6456
/[ejci]favico.js/,True,True,3,3,3,33.0,33.0,False,False,2,2,2,2,0,895
/[rstacruz]jquery.transit/,False,False,1,1,1,100.0,100.0,True,True,1,1,0,1,0,1066
/[jzaefferer]jquery-validation/,True,True,7,2,7,9.62,9.62,False,False,1,2,1,1,6,51291
/[qrohlf]trianglify/,True,True,4,4,2,11.0,11.0,False,False,3,1,2,1,2,7111
/[kangax]fabric.js/,True,True,4,2,2,16.0,84.43,False,True,2,1,1,1,3,57307
/[NodeRedis]node_redis/,False,False,1,1,1,100.0,100.0,True,True,1,1,1,0,0,12681
/[Netflix]falcor/,True,False,2,1,1,85.0,99.81,False,True,0,1,1,0,2,104582
/[nodemailer]nodemailer/,True,True,3,3,2,50.0,50.0,False,False,1,1,1,1,0,19058
/[developit]preact/,False,False,1,1,1,100.0,100.0,True,True,1,1,1,0,1,37492
/[google]traceur-compiler/,True,True,9,2,6,5.0,16.0,False,False,0,1,1,2,8,104820
/[danialfarid]ng-file-upload/,True,False,2,1,1,100.0,100.0,False,True,0,1,1,0,2,14259
/[marionettejs]backbone.marionette/,True,True,2,2,1,11.0,11.0,False,False,0,1,1,2,2,24070
/[mitmproxy]mitmproxy/,True,False,6,1,6,27.0,27.0,False,True,0,0,1,1,6,70077
